"rate","age","reservations"
"FF","0-25","662"
"Early60","0-25","539"
"Early21","0-25","194"
"MIN4","0-25","35"
"NonRefBARBB","0-25","34"
"MIN3","0-25","23"
"Direct","0-25","19"
"Suite","0-25","11"
"MIN5","0-25","3"
"FF","25-35","103"
"NonRefBARBB","25-35","57"
"Early21","25-35","29"
"MIN3","25-35","16"
"MIN4","25-35","12"
"Early60","25-35","7"
"Direct","25-35","4"
"Suite","25-35","4"
"MIN5","25-35","2"
"FF","35-45","142"
"NonRefBARBB","35-45","57"
"Early21","35-45","33"
"MIN3","35-45","15"
"Early60","35-45","12"
"MIN4","35-45","9"
"Direct","35-45","6"
"Suite","35-45","4"
"MIN5","35-45","1"
"FF","45-55","127"
"NonRefBARBB","45-55","41"
"Early21","45-55","27"
"MIN3","45-55","14"
"Early60","45-55","8"
"MIN4","45-55","8"
"Direct","45-55","7"
"Suite","45-55","7"
"MIN5","45-55","2"
"FF","55-65","78"
"NonRefBARBB","55-65","19"
"Early21","55-65","18"
"MIN3","55-65","11"
"Direct","55-65","7"
"MIN4","55-65","6"
"Suite","55-65","4"
"Early60","55-65","3"
"FF","65-100","36"
"NonRefBARBB","65-100","9"
"Early21","65-100","8"
"MIN3","65-100","4"
"MIN4","65-100","4"
"Early60","65-100","3"
"MIN5","65-100","1"
"Early21","100+","6"
"Early60","100+","4"
"FF","100+","3"
"MIN3","100+","2"
"Suite","100+","1"
